Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors
K.V.O. programmas 1893-97_00240-20211201_122151.jpg,1893-1897,concert P. Benoit,1895-04-11,Ter gelegenheid van Witte-donderdag,FALSE,110866,concert P. Benoit,?,?,?,?,concert,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00242-20211201_122233.jpg,1893-1897,concert P. Benoit,1895-04-09,,FALSE,531989,concert P. Benoit,?,?,?,?,concert,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00246-20211201_122318.jpg,1893-1897,Czaar en Timmerman,1895-04-14,,FALSE,533346,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00248-20211201_122335.jpg,1893-1897,Eeen Nacht te Grenada,1895-04-16,Feestavond,FALSE,356501,Een Nacht te Grenada,DUI,Conradin Kreutzer,1834,Das Nachtlager in Granada,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00253-20211201_122436.jpg,1893-1897,Tannhauser,1895-04-20,,FALSE,411162,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00255-20211201_122507.jpg,1893-1897,Ondine,1895-04-21,,FALSE,558834,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00257-20211201_122526.jpg,1893-1897,Tannhauser,1895-04-23,,FALSE,554647,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00259-20211201_122619.jpg,1893-1897,Tannhauser,1895-04-28,,FALSE,641084,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00261-20211201_122640.jpg,1893-1897,Fidelio,1895-04-30,Feestavond,TRUE,695849,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00261-20211201_122640.jpg,1893-1897,Bergliot,1895-04-30,Feestavond,TRUE,695849,Bergliot,NOR,Edvard Grieg,?,Bergliot,lyrisch drama,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00265-20211201_122734.jpg,1893-1897,Brinio,1895-10-01,Openingsvertoning,FALSE,918261,Brinio,NL,Simon van Milligen,1889,Brinio,lyrisch drama,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00267-20211201_122752.jpg,1893-1897,De Vrijschutter,1895-10-08,,FALSE,119361,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00271-20211201_122921.jpg,1893-1897,Fidelio,1895-10-15,,FALSE,800325,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00273-20211201_122941.jpg,1893-1897,Fidelio,1895-10-19,,FALSE,995771,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00277-20211201_123016.jpg,1893-1897,Fidelio,1895-10-22,,FALSE,299007,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00279-20211201_123033.jpg,1893-1897,Fidelio,1895-10-26,,FALSE,673907,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00281-20211201_123052.jpg,1893-1897,Hans Heiling,1895-10-29,Eerste vertoning,FALSE,996510,Hans Heiling,DUI,Heinrich Marschner,1833,Hans Heiling,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00283-20211201_123116.jpg,1893-1897,Hans Heiling,1895-10-31,,FALSE,956917,Hans Heiling,DUI,Heinrich Marschner,1833,Hans Heiling,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00285-20211201_123142.jpg,1893-1897,Hans Heiling,1895-11-02,,FALSE,618954,Hans Heiling,DUI,Heinrich Marschner,1833,Hans Heiling,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00289-20211201_123237.jpg,1893-1897,Hans Heiling,1895-11-09,,FALSE,602858,Hans Heiling,DUI,Heinrich Marschner,1833,Hans Heiling,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00291-20211201_123312.jpg,1893-1897,De Vrijschutter,1895-11-12,,FALSE,792987,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00293-20211201_123327.jpg,1893-1897,De Wapensmid,1895-11-14,Eerste vertoning,FALSE,465949,De Wapensmid,DUI,Albert Lortzing,1846,Der Waffenschmied,?,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00293-20211201_123327.jpg,1893-1897,De Wapensmid,1895-11-16,,FALSE,871323,De Wapensmid,DUI,Albert Lortzing,1846,Der Waffenschmied,?,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00297-20211201_123404.jpg,1893-1897,Fidelio,1895-11-19,Volgens de nota van Verbruggen is deze voorstelling vervangen door De Vrijschutter,FALSE,699930,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00299-20211201_123423.jpg,1893-1897,Ondine,1895-11-23,Eerste vertoning,FALSE,261035,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00301-20211201_123445.jpg,1893-1897,Ondine,1895-11-26,,FALSE,604136,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00303-20211201_123506.jpg,1893-1897,Ondine,1895-11-30,,FALSE,149878,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00307-20211201_123542.jpg,1893-1897,De Wapensmid,1895-12-03,,FALSE,619989,De Wapensmid,DUI,Albert Lortzing,1846,Der Waffenschmied,?,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00309-20211201_123607.jpg,1893-1897,Fidelio,1895-12-07,,FALSE,327331,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00311-20211201_123625.jpg,1893-1897,De Wapensmid,1895-12-10,,FALSE,926007,De Wapensmid,DUI,Albert Lortzing,1846,Der Waffenschmied,?,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00313-20211201_123657.jpg,1893-1897,De Verkochte Bruid,1895-12-14,Gala-vertoning,FALSE,402064,De Verkochte Bruid,TSJ,"Bedrich	Smetana",1866,The Bartered Bride,czech national opera,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00315-20211201_123717.jpg,1893-1897,De Verkochte Bruid,1895-12-17,,FALSE,482926,De Verkochte Bruid,TSJ,"Bedrich	Smetana",1866,The Bartered Bride,czech national opera,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00317-20211201_123733.jpg,1893-1897,De Verkochte Bruid,1895-12-21,,FALSE,553746,De Verkochte Bruid,TSJ,"Bedrich	Smetana",1866,The Bartered Bride,czech national opera,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00319-20211201_123755.jpg,1893-1897,Fidelio,1895-12-24,,FALSE,160033,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00323-20211201_123843.jpg,1893-1897,De Verkochte Bruid,1895-12-26,,FALSE,401657,De Verkochte Bruid,TSJ,"Bedrich	Smetana",1866,The Bartered Bride,czech national opera,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00325-20211201_124504.jpg,1893-1897,Ondine,1895-12-28,Kindervertoning,FALSE,856360,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00327-20211201_124549.jpg,1893-1897,De Vrijschutter,1895-12-31,,FALSE,921138,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00329-20211201_124608.jpg,1893-1897,De Verkochte Bruid,1896-01-04,,FALSE,897280,De Verkochte Bruid,TSJ,"Bedrich	Smetana",1866,The Bartered Bride,czech national opera,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00331-20211201_124634.jpg,1893-1897,De Wapensmid,1895-01-07,Feestavond,FALSE,470222,De Wapensmid,DUI,Albert Lortzing,1846,Der Waffenschmied,?,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00333-20211201_124655.jpg,1893-1897,Tannhauser,1896-01-09,Gala-vertoning,FALSE,758038,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00335-20211201_124715.jpg,1893-1897,Tannhauser,1896-01-11,,FALSE,584026,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00337-20211201_124756.jpg,1893-1897,De Verkochte Bruid,1896-01-12,,FALSE,708215,De Verkochte Bruid,TSJ,"Bedrich	Smetana",1866,The Bartered Bride,czech national opera,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00339-20211201_124815.jpg,1893-1897,Tannhauser,1896-01-14,,FALSE,587105,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00341-20211201_125225.jpg,1893-1897,De Wapensmid,1896-01-18,,FALSE,224866,De Wapensmid,DUI,Albert Lortzing,1846,Der Waffenschmied,?,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00343-20211201_125257.jpg,1893-1897,Tannhauser,1896-01-21,Feestavond,FALSE,644427,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00345-20211201_125351.jpg,1893-1897,De Verkochte Bruid,1896-01-25,,FALSE,174812,De Verkochte Bruid,TSJ,"Bedrich	Smetana",1866,The Bartered Bride,czech national opera,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00347-20211201_125413.jpg,1893-1897,Tannhauser,1896-01-28,,FALSE,400147,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00349-20211201_125431.jpg,1893-1897,De Vliegende Hollander,1896-02-01,Gala-vertoning,FALSE,314923,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00351-20211201_125500.jpg,1893-1897,De Vliegende Hollander,1896-02-04,Feestavond,FALSE,896602,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00353-20211201_125530.jpg,1893-1897,Tannhauser,1896-02-08,,FALSE,584766,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00355-20211201_125555.jpg,1893-1897,De Vliegende Hollander,1896-02-11,,FALSE,623674,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holländer,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00357-20211201_125630.jpg,1893-1897,Fidelio,1896-02-13,,FALSE,788877,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00359-20211201_125659.jpg,1893-1897,Ondine,1896-02-16,,FALSE,436536,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00361-20211201_125735.jpg,1893-1897,De Verkochte Bruid,1896-02-18,Ter gelegenheid van Vastenavond,FALSE,777819,De Verkochte Bruid,TSJ,"Bedrich	Smetana",1866,The Bartered Bride,czech national opera,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00363-20211201_125754.jpg,1893-1897,Pelops,1896-02-20,Gala-vertoning,FALSE,300523,Pelops,TSJ,Fibich Zdenik,1890,Nàmluvy Pelopovy,romantic opera,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00365-20211201_125815.jpg,1893-1897,Tannhauser,1896-02-22,Gala-vertoning,FALSE,742637,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00369-20211201_125849.jpg,1893-1897,Hans Heiling,1896-02-25,Feestavond,FALSE,134961,Hans Heiling,DUI,Heinrich Marschner,1833,Hans Heiling,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00371-20211201_125909.jpg,1893-1897,Czaar en Timmerman,1896-02-29,,FALSE,308277,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00373-20211201_125928.jpg,1893-1897,De Verkochte Bruid,1896-03-03,Feestavond,FALSE,903745,De Verkochte Bruid,TSJ,"Bedrich	Smetana",1866,The Bartered Bride,czech national opera,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00375-20211201_125956.jpg,1893-1897,Tantalus,1896-03-07,,FALSE,437124,Tantalus,TSJ,Zdenik Fibich,1890,Smir Tantaluv,?,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00377-20211201_130015.jpg,1893-1897,Tannhauser,1896-03-10,,FALSE,884907,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00379-20211201_130031.jpg,1893-1897,De Tooverfluit,1896-03-14,Gala-vertoning,FALSE,561944,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00381-20211201_130054.jpg,1893-1897,De Tooverfluit,1896-03-17,,FALSE,578541,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00383-20211201_130136.jpg,1893-1897,De Tooverfluit,1896-03-21,,FALSE,502565,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00385-20211201_130157.jpg,1893-1897,De Tooverfluit,1896-03-19,Feestavond,FALSE,623325,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00387-20211201_130217.jpg,1893-1897,De Tooverfluit,1896-03-24,,FALSE,987830,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00389-20211201_130237.jpg,1893-1897,De Tooverfluit,1896-03-27,,FALSE,615309,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00389-20211201_130237.jpg,1893-1897,De Tooverfluit,1896-03-28,,FALSE,624611,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00391-20211201_130320.jpg,1893-1897,Tannhauser,1896-03-31,Sluiting van het Toneeljaar,FALSE,963317,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00394-20211201_130353.jpg,1893-1897,Czaar en Timmerman,1896-04-07,,FALSE,897023,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00396-20211201_130420.jpg,1893-1897,Tannhauser,1896-04-12,,FALSE,820404,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00398-20211201_130437.jpg,1893-1897,Tannhauser,1896-04-14,Benefitie der Heeren en Damen van het koor,FALSE,614750,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00400-20211201_130459.jpg,1893-1897,Fidelio,1896-04-19,,FALSE,278368,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00402-20211201_130520.jpg,1893-1897,De Vrijschutter,1896-04-21,,FALSE,181577,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00404-20211201_130536.jpg,1893-1897,Tannhauser,1896-04-26,Sluiting van het Toneeljaar,FALSE,570167,Tannhauser,DUI,Richard Wagner,1845,Tannhäuser,romantische oper,1895-1896,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00406-20211201_130554.jpg,1893-1897,Fidelio,1896-10-03,Gala-vertoning,FALSE,560593,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00408-20211201_130615.jpg,1893-1897,Czaar en Timmerman,1896-10-06,,FALSE,220222,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00410-20211201_130636.jpg,1893-1897,Herbergprinses,1896-10-10,Gala-vertoning,FALSE,686072,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00414-20211201_130715.jpg,1893-1897,Herbergprinses,1896-10-13,,FALSE,938939,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00416-20211201_130751.jpg,1893-1897,Herbergprinses,1896-10-17,,FALSE,372975,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00418-20211201_130812.jpg,1893-1897,Herbergprinses,1896-10-20,,FALSE,975261,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00420-20211201_130829.jpg,1893-1897,Herbergprinses,1896-10-22,,FALSE,802712,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00420-20211201_130829.jpg,1893-1897,Herbergprinses,1896-10-24,,FALSE,797143,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00422-20211201_130848.jpg,1893-1897,De Wapensmid,1896-10-27,,FALSE,766199,De Wapensmid,DUI,Albert Lortzing,1846,Der Waffenschmied,?,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00424-20211201_130917.jpg,1893-1897,Herbergprinses,1896-10-31,,FALSE,715107,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00426-20211201_130938.jpg,1893-1897,De Vrijschutter,1896-11-03,,FALSE,744975,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00428-20211201_130956.jpg,1893-1897,Herbergprinses,1896-11-07,,FALSE,739283,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00430-20211201_131021.jpg,1893-1897,De Vrijschutter,1896-11-10,,FALSE,862901,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00432-20211201_131039.jpg,1893-1897,Herbergprinses,1896-11-12,,FALSE,860926,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00432-20211201_131039.jpg,1893-1897,Herbergprinses,1896-11-14,,FALSE,913671,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00434-20211201_131108.jpg,1893-1897,Herbergprinses,1896-11-17,,FALSE,996899,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00436-20211201_131131.jpg,1893-1897,Herbergprinses,1896-11-21,,FALSE,550562,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00438-20211201_131152.jpg,1893-1897,Herbergprinses,1896-11-24,,FALSE,370992,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00440-20211201_131210.jpg,1893-1897,Czaar en Timmerman,1896-11-26,,FALSE,834000,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00442-20211201_131230.jpg,1893-1897,Herbergprinses,1896-11-28,,FALSE,659594,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00444-20211201_131253.jpg,1893-1897,Herbergprinses,1896-12-01,,FALSE,316672,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00446-20211201_131323.jpg,1893-1897,Herbergprinses,1896-12-05,,FALSE,438152,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1896-1897,Edward Keurvels & Henry Fontaine
